name,battingStyle,Batting Avg,Strike rate,bowlingStyle,Bowling Average,Economy,team
VijaykumarVyshak,Right hand Bat,13,144.44444444444443,Right arm Medium,28.11111111111111,10.541666666666666,RCB
RajatPatidar,Right hand Bat,40.4,144.28571428571428,Right arm Offbreak,,,RCB
AtharvaTaide,Left hand Bat,26.571428571428573,144.1860465116279,Slow Left arm Orthodox,,,Punjab Kings
PrabhsimranSingh,Right hand Bat,23,143.75,Not Available,,,Punjab Kings
UmranMalik,Right hand Bat,11.5,143.75,Right arm Fast,26.103448275862068,9.326488706365502,Sunrisers
AjinkyaRahane,Right hand Bat,25.944444444444443,143.6923076923077,Right arm Medium,,,Capitals
SamCurran,Left hand Bat,25.53846153846154,143.10344827586206,Left arm Medium fast,43,10.107216494845362,Super Kings
RahulTripathi,Right hand Bat,28.5,143.06472919418758,Right arm Medium,,,KKR
DewaldBrevis,Right hand Bat,23,142.47787610619469,Legbreak,8,16,Mumbai
SikandarRaza,Right hand Bat,27.8,141.83673469387753,Right arm Offbreak,39.666666666666664,9.916666666666666,Punjab Kings
DevonConway,Left hand Bat,48.63157894736842,141.28440366972478,Right arm Medium,,,Super Kings
AaronFinch,Right hand Bat,17.2,140.98360655737704,Slow Left arm Orthodox,,,KKR
FafduPlessis,Right hand Bat,43.595238095238095,140.84615384615384,Legbreak,,,Super Kings
JasonRoy,Right hand Bat,33.46153846153846,140.7766990291262,Not Available,,,Sunrisers
AbhinavManohar,Right hand Bat,18.5,140.50632911392404,Legbreak Googly,,,Titans
ChrisLynn,Right hand Bat,49,140,Slow Left arm Orthodox,,,Mumbai
SeanAbbott,Right hand Bat,7,140,Right arm Fast medium,47,11.75,Sunrisers
JonnyBairstow,Right hand Bat,28.9375,139.4578313253012,Right arm Medium,,,Sunrisers
ShubmanGill,Right hand Bat,40.23913043478261,139.06836964688205,Right arm Offbreak,,,KKR
MahipalLomror,Left hand Bat,19.6875,138.76651982378854,Slow Left arm Orthodox,82,7.454545454545454,Royals
RomarioShepherd,Right hand Bat,19.333333333333332,138.0952380952381,Right arm Fast medium,32.666666666666664,10.88888888888889,Sunrisers
VijayShankar,Right hand Bat,23.125,138.05970149253733,Right arm Medium,32,10.105263157894736,Sunrisers
RishabhPant,Left hand Bat,32.81818181818182,138.04971319311662,Not Available,,,Capitals
RavindraJadeja,Left hand Bat,31.352941176470587,137.72609819121448,Slow Left arm Orthodox,27.405405405405407,7.455882352941177,Super Kings
RuturajGaikwad,Right hand Bat,37.92857142857143,137.6836646499568,Right arm Offbreak,,,Super Kings
DavidMiller,Left hand Bat,43.2,137.5796178343949,Right arm Offbreak,,,Royals
AdilRashid,Right hand Bat,11,137.5,Legbreak,45.5,9.1,Punjab Kings
SunilNarine,Left hand Bat,6.695652173913044,137.5,Right arm Offbreak,29.333333333333332,6.6,KKR
