name,battingStyle,Batting Avg,Strike rate,bowlingStyle,Bowling Average,Economy,team
KyleJamieson,Right hand Bat,16.25,118.18181818181819,Right arm Fast medium,29.88888888888889,9.607142857142858,RCB
ShahbazAhmed,Left hand Bat,16.842105263157894,117.21611721611723,Slow Left arm Orthodox,43.583333333333336,9.339285714285714,RCB
ManishPandey,Right hand Bat,25.714285714285715,116.88311688311688,Right arm Medium,,,Sunrisers
RasikhSalam,Right hand Bat,7,116.66666666666667,Right arm Medium,0,7,KKR
OdeanSmith,Right hand Bat,17,115.90909090909092,Right arm Fast medium,29.666666666666668,11.866666666666667,Punjab Kings
SuyashPrabhudessai,Right hand Bat,11.333333333333334,115.90909090909092,Right arm Medium,,,RCB
AnujRawat,Left hand Bat,18.333333333333332,115.78947368421053,Not Available,,,Royals
MatthewWade,Left hand Bat,15.7,113.76811594202898,Right arm Medium,,,Titans
TimSeifert,Right hand Bat,8.666666666666666,113.04347826086956,Not Available,,,KKR
RamandeepSingh,Right hand Bat,22.5,112.5,Right arm Medium,9,9,Mumbai
HarpreetBrar,Left hand Bat,15.333333333333334,111.29032258064515,Slow Left arm Orthodox,27.944444444444443,7.6020151133501255,Punjab Kings
AmanHakimKhan,Right hand Bat,12.777777777777779,110.57692307692308,Right arm Medium,0,13,KKR
RishiDhawan,Right hand Bat,14.25,109.61538461538463,Right arm Medium fast,30.857142857142858,8.307692307692308,Punjab Kings
RipalPatel,Right hand Bat,16,109.58904109589041,Right arm Medium fast,0,7.333333333333333,Capitals
AnukulRoy,Left hand Bat,7.666666666666667,109.52380952380953,Slow Left arm Orthodox,30,8,KKR
KedarJadhav,Right hand Bat,19.333333333333332,109.43396226415094,Right arm Offbreak,,,Sunrisers
NarayanJagadeesan,Right hand Bat,18.428571428571427,109.32203389830508,Not Available,,,Super Kings
WashingtonSundar,Left hand Bat,12.8,109.09090909090908,Right arm Offbreak,41.916666666666664,8.156756756756756,RCB
AnrichNortje,Right hand Bat,12.666666666666666,108.57142857142857,Right arm Fast,24.774193548387096,8.287769784172662,Capitals
SarfarazKhan,Right hand Bat,16,108.27067669172932,Legbreak,,,Punjab Kings
PriyamGarg,Right hand Bat,15.555555555555555,107.6923076923077,Right arm Medium,,,Sunrisers
StevenSmith,Right hand Bat,19.666666666666668,107.27272727272728,Legbreak Googly,,,Capitals
JamesNeesham,Left hand Bat,7.75,106.89655172413792,Right arm Medium fast,19,7.916666666666667,Mumbai
AbishekPorel,Left hand Bat,8.25,106.4516129032258,Not Available,,,Capitals
LalitYadav,Right hand Bat,21.071428571428573,106.11510791366908,Right arm Offbreak,36.9,8.2,Capitals
DanielSams,Right hand Bat,5.5,104.76190476190477,Left arm Fast medium,29.214285714285715,8.520833333333334,RCB
PiyushChawla,Left hand Bat,8.333333333333334,104.16666666666667,Legbreak,23.17391304347826,8.2,Mumbai
ShivamMavi,Right hand Bat,7,103.7037037037037,Right arm Fast medium,28.75,8.492307692307692,KKR
HrithikShokeen,Right hand Bat,22,101.53846153846153,Right arm Offbreak,62.8,9.235294117647058,Mumbai
KaneWilliamson,Right hand Bat,24.470588235294116,100.2409638554217,Right arm Offbreak,,,Sunrisers
AbdulBasith,Right hand Bat,0,100,Right arm Offbreak,,,Royals
DasunShanaka,Right hand Bat,13,100,Right arm Medium,,,Titans
DawidMalan,Left hand Bat,26,100,Legbreak,,,Punjab Kings
HarbhajanSingh,Right hand Bat,0,100,Right arm Offbreak,0,9,KKR
IshantSharma,Right hand Bat,0,100,Right arm Fast medium,27.545454545454547,8.18918918918919,Capitals
JofraArcher,Right hand Bat,0,100,Right arm Fast,95,9.5,Mumbai
LittonDas,Right hand Bat,4,100,Right arm Offbreak,,,KKR
MaheeshTheekshana,Right hand Bat,7,100,Right arm Offbreak,29.333333333333332,7.7,Super Kings
MohsinKhan,Left hand Bat,11.5,100,Left arm Medium fast,17.88235294117647,7.069767441860465,Super Giants
MujeebUrRahman,Right hand Bat,0,100,Right arm Offbreak,14.5,7.25,Sunrisers
MukeshChoudhary,Left hand Bat,6,100,Left arm Medium,26.5,9.31868131868132,Super Kings
SiddarthKaul,Right hand Bat,0,100,Right arm Medium,51.8,8.633333333333333,Sunrisers
RahulChahar,Right hand Bat,7,98.91304347826086,Legbreak Googly,30.37142857142857,7.629186602870813,Mumbai
WaninduHasaranga,Right hand Bat,7.2,98.63013698630137,Legbreak,21.37142857142857,8.130434782608695,RCB
ShakibAlHasan,Left hand Bat,9.4,97.91666666666666,Slow Left arm Orthodox,46.75,7.1923076923076925,KKR
BhuvneshwarKumar,Right hand Bat,14.285714285714286,97.0873786407767,Right arm Medium,33.61764705882353,7.873708381171069,Sunrisers
MoisesHenriques,Right hand Bat,15.5,96.875,Right arm Fast medium,11.25,4.5,Punjab Kings
EoinMorgan,Left hand Bat,11.083333333333334,95.68345323741008,Right arm Medium,,,KKR
AdamMilne,Right hand Bat,8,94.11764705882352,Right arm Fast,50,9.090909090909092,Mumbai
RassievanderDussen,Right hand Bat,11,91.66666666666666,Legbreak,,,Royals
ViratSingh,Left hand Bat,11,91.66666666666666,Legbreak Googly,,,Sunrisers
MarcoJansen,Right hand Bat,8,90.56603773584906,Left arm Medium fast,30.842105263157894,9.015384615384615,Mumbai
KartikTyagi,Right hand Bat,3,90,Right arm Fast,49.166666666666664,10.473372781065088,Royals
KarunNair,Right hand Bat,8,88.88888888888889,Right arm Offbreak,,,Royals
NoorAhmad,Right hand Bat,4,88.88888888888889,Left arm Wrist spin,23.0625,7.8233215547703185,Titans
MandeepSingh,Right hand Bat,6.714285714285714,88.67924528301887,Right arm Medium,,,Punjab Kings
SheldonJackson,Right hand Bat,5.75,88.46153846153845,Not Available,,,KKR
BenStokes,Left hand Bat,5,88.23529411764706,Right arm Fast medium,0,15,Royals
SimarjeetSingh,Right hand Bat,7,87.5,Right arm Medium fast,34.5,7.666666666666667,Super Kings
DavidWilley,Left hand Bat,26.5,85.48387096774194,Left arm Fast medium,44.25,6.8076923076923075,RCB
MohammedSiraj,Right hand Bat,12.75,83.60655737704919,Right arm Fast,31.846153846153847,8.117647058823529,RCB
PraveenDubey,Right hand Bat,16,80,Legbreak Googly,19,6.333333333333333,Capitals
KuldeepYadav,Left hand Bat,26.333333333333332,79,Left arm Wrist spin,25.161290322580644,7.905405405405405,Capitals
RajBawa,Left hand Bat,5.5,78.57142857142857,Right arm Medium fast,,,Punjab Kings
MohammedShami,Right hand Bat,6,78.26086956521739,Right arm Fast,20.970149253731343,7.863805970149254,Punjab Kings
KaranSharma,Right hand Bat,3.5,77.77777777777779,Right arm Offbreak,,,Super Giants
MukeshKumar,Right hand Bat,0,77.77777777777779,Right arm Medium,46.57142857142857,10.516129032258064,Capitals
MitchellSantner,Left hand Bat,12,77.41935483870968,Slow Left arm Orthodox,30.142857142857142,6.806451612903226,Super Kings
TristanStubbs,Right hand Bat,6.75,77.14285714285715,Right arm Offbreak,14,7,Mumbai
SandeepSharma,Right hand Bat,10,76.92307692307693,Right arm Medium,50.13333333333333,8.402234636871508,Sunrisers
Naveen-ul-Haq,Right hand Bat,16,76.19047619047619,Right arm Medium fast,19.90909090909091,7.821428571428571,Super Giants
NathanEllis,Right hand Bat,4.75,76,Right arm Fast medium,28.470588235294116,8.8,Punjab Kings
DarylMitchell,Right hand Bat,16.5,75,Right arm Medium,0,13.5,Royals
KumarKartikeya,Right hand Bat,4.5,75,"Slow Left arm Orthodox, Left arm Wrist spin",32.9,8.435897435897436,Mumbai
FabianAllen,Right hand Bat,7,73.68421052631578,Slow Left arm Orthodox,68,9.066666666666666,Punjab Kings
ArshdeepSingh,Left hand Bat,8.333333333333334,73.52941176470588,Left arm Medium fast,27.11111111111111,8.581477139507621,Punjab Kings
NathanCoulter-Nile,Right hand Bat,2.5,71.42857142857143,Right arm Fast,25,7.608695652173913,Mumbai
